autor bonnie jeromediemilia,"aut=jeromediemilia, bonnie%"
autor ana elisa coelho,"aut=coelho, ana elisa%"
autor ines oliveira,"aut=oliveira, ines%"
autor jose carlos magalhaes,"aut=magalhaes, jose carlos%"
autor k. stajduhar,"aut=stajduhar, k.%"
autor david j. ritchie,"aut=ritchie, david j.%"
autor s.p. souto,"aut=souto, s.p.%"
autor ana paula almeida,"aut=almeida, ana paula%"
autor pedro parreira,"aut=parreira, pedro%"
autor paulo rompante,"aut=rompante, paulo%"
autor mario amador,"aut=amador, mario%"
autor joao caine,"aut=caine, joao%"
autor helena carneiro,"aut=carneiro, helena%"
autor pedro frias,"aut=frias, pedro%"
autor joao veiga,"aut=veiga, joao%"
autor sergio soares,"aut=soares, sergio%"
autor pedro gaspar,"aut=gaspar, pedro%"
autor hugo paixao,"aut=paixao, hugo%"
autor rui monteiro,"aut=monteiro, rui%"
autor luisa velez,"aut=velez, luisa%"
autor victor pereira,"aut=pereira, victor%"
autor angela mendes,"aut=mendes, angela%"
autor ana saianda,"aut=saianda, ana%"
autor teresa bandeira,"aut=bandeira, teresa%"
autor joao albuquerque,"aut=albuquerque, joao%"
autor ana paula martins,"aut=martins, ana paula%"
autor miroslava goncalves,"aut=goncalves, miroslava%"
autor enformacao,"aut=enformacao%"
autor pedro pacheco,"aut=pacheco, pedro%"
autor lorraine grothier,"aut=grothier, lorraine%"
autor mieke deschodt,"aut=deschodt, mieke%"
autor bernadette dierckx de casterle,"aut=dierckx de casterle, bernadette%"
autor koen milisen,"aut=milisen, koen%"
autor julliann g. sebastian,"aut=sebastian, julliann g.%"
autor judith lupo wold,"aut=wold, judith lupo%"
autor ann cary,"aut=cary, ann%"
autor amilcar carvalho,"aut=carvalho, amilcar%"
autor anabela almeida,"aut=almeida, anabela%"
autor luis lourenco,"aut=lourenco, luis%"
autor barry reilly,"aut=reilly, barry%"
autor cecilia bottomley,"aut=bottomley, cecilia%"
autor janice rymer,"aut=rymer, janice%"
autor fernando amaral,"aut=amaral, fernando%"
autor dyan aretaris,"aut=aretaris, dyan%"
autor a. jose carmo,"aut=carmo, a. jose%"
autor germano couto,"aut=couto, germano%"
autor jorge lima,"aut=lima, jorge%"
autor almudena martinmoyano,"aut=martinmoyano, almudena%"
autor jorge melo,"aut=melo, jorge%"
autor carolina costa,"aut=costa, carolina%"
autor rosa maria rodrigues,"aut=rodrigues, rosa maria%"
autor teresa reis silva,"aut=silva, teresa reis%"
autor peggye guess lassiter,"aut=lassiter, peggye guess%"
autor valda v. upenieks,"aut=upenieks, valda v.%"
autor patricia nascimento,"aut=nascimento, patricia%"
autor telma matias,"aut=matias, telma%"
autor frederico abreu,"aut=abreu, frederico%"
autor irene franco,"aut=franco, irene%"
autor licinia barreto,"aut=barreto, licinia%"
autor v. henriques,"aut=henriques, v.%"
autor kate frazer,"aut=frazer, kate%"
autor vera rodrigues,"aut=rodrigues, vera%"
autor catarina gouveia,"aut=gouveia, catarina%"
autor maria joao brito,"aut=brito, maria joao%"
autor fernando pereira,"aut=pereira, fernando%"
autor ariana afonso,"aut=afonso, ariana%"
autor mette fagernes,"aut=fagernes, mette%"
autor egil lingaas,"aut=lingaas, egil%"
autor ana luisa pedro,"aut=pedro, ana luisa%"
autor claudia gomes,"aut=gomes, claudia%"
autor berta urtasun vicuna,"aut=vicuna, berta urtasun%"
autor yolanda garcia montes,"aut=montes, yolanda garcia%"
autor amelia moreira,"aut=moreira, amelia%"
autor janna dieckmann,"aut=dieckmann, janna%"
autor alice martins,"aut=martins, alice%"
autor manuel nogueira,"aut=nogueira, manuel%"
autor jaime teixeira mendes,"aut=mendes, jaime teixeira%"
autor luis santos,"aut=santos, luis%"
autor sandra fonseca,"aut=fonseca, sandra%"
autor luis penelas,"aut=penelas, luis%"
autor aida borges,"aut=borges, aida%"
autor helena maria guerreiro jose,"aut=jose , helena maria guerreiro%"
autor k. nemeeger,"aut=nemeeger, k.%"
autor f. meuleneire,"aut=meuleneire, f.%"
autor r. sampaio,"aut=sampaio, r.%"
autor m. azevedo,"aut=azevedo, m.%"
autor l. simoes,"aut=simoes, l.%"
autor menezes andre,"aut=andre, menezes%"
autor marino marilia,"aut=marilia, marino%"
autor santos anielo,"aut=anielo, santos%"
autor maria jose spinola,"aut=spinola, maria jose%"
autor maria manuela assuncao,"aut=assuncao, maria manuela%"
autor maria da paz olim,"aut=olim, maria da paz%"
autor susana ferreira,"aut=ferreira, susana%"
autor ana coelho,"aut=coelho, ana%"
autor marcella guimaraes,"aut=guimaraes, marcella%"
autor assis tirado,"aut=tirado, assis%"
autor jose manuel ribera casado,"aut=casado, jose manuel ribera%"
autor m. ponpaipan,"aut=ponpaipan, m.%"
autor ana isabel lopes,"aut=lopes, ana isabel%"
autor iolanda goncalves,"aut=goncalves, iolanda%"
autor joana silva,"aut=silva, joana%"
autor luis miguel freitas,"aut=freitas, luis miguel%"
autor brenda roe,"aut=roe, brenda%"
autor isabel silva,"aut=silva, isabel%"
autor maria emilia moreira,"aut=moreira, maria emilia%"
autor paula borges,"aut=borges, paula%"
autor joao paulo tavares,"aut=tavares, joao paulo%"
autor andre oliveira,"aut=oliveira, andre%"
autor teresa branco,"aut=branco, teresa%"
autor maria teresa neto,"aut=neto, maria teresa%"
autor micaela serelha,"aut=serelha, micaela%"
autor joao fonseca,"aut=fonseca, joao%"
autor y. koh,"aut=koh, y.%"
autor v.  drury,"aut=drury, v.%"
autor catarina fernandes,"aut=fernandes, catarina%"
autor r. konno,"aut=konno, r.%"
autor ana teixeira,"aut=teixeira, ana%"
autor helena jardim,"aut=jardim, helena%"
autor robyn rice,"aut=rice , robyn%"
autor gail b. lewisree,"aut=lewisree, gail b.%"
autor ana cristina geada,"aut=geada, ana cristina%"
autor lidia dias,"aut=dias, lidia%"
autor marco bettencourt,"aut=bettencourt, marco%"
autor sofia rodrigues,"aut=rodrigues, sofia%"
autor fatima gouveia,"aut=gouveia, fatima%"
autor rita oliveira,"aut=oliveira, rita%"
autor ana pereira,"aut=pereira, ana%"
autor catarina garcia,"aut=garcia, catarina%"
autor irene duquenne,"aut=duquenne, irene%"
autor nelly gravier,"aut=gravier, nelly%"
autor michel lopez,"aut=lopez, michel%"
autor anabela mendes,"aut=mendes, anabela%"
autor fernanda bastos,"aut=bastos, fernanda%"
autor abel paiva,"aut=paiva, abel%"
autor rose anderson,"aut=anderson, rose%"
autor s. troy mcmullin,"aut=mcmullin , s. troy%"
autor sandrine potiron,"aut=potiron, sandrine%"
autor ana patricia fernandes,"aut=fernandes, ana patricia%"
autor joao inacio freitas,"aut=freitas, joao inacio%"
autor eugenia vieira,"aut=vieira, eugenia%"
autor esmeralda martins,"aut=martins, esmeralda%"
autor tania alves,"aut=alves, tania%"
autor jacque chalifour,"aut=chalifour, jacque%"
autor gloria toletti,"aut=toletti, gloria%"
autor maria da conceicao vieira,"aut=vieira, maria da conceicao%"
autor luis batalha,"aut=batalha, luis%"
autor david lito,"aut=lito, david%"
autor maria goreti pereira,"aut=pereira, maria goreti%"
autor vitor manuel rodrigues,"aut=rodrigues, vitor manuel%"
autor s. nunes,"aut=nunes, s.%"
autor jose carlos amado martins,"aut=martins, jose carlos amado%"
autor claudia conceicao,"aut=conceicao, claudia%"
autor alexandra leandro,"aut=leandro, alexandra%"
autor mark mccarthy,"aut=mccarthy, mark%"
autor robert bogdan,"aut=bogdan, robert%"
autor sari biklen,"aut=biklen, sari%"
autor teresa molina,"aut=molina, teresa%"
autor a.c. pereira,"aut=pereira, a.c.%"
autor m.f. costa,"aut=costa, m.f.%"
autor p.m. soares,"aut=soares, p.m.%"
autor n. hubner,"aut=hubner, n.%"
autor g. kampf,"aut=kampf, g.%"
autor m. muscatiello,"aut=muscatiello, m.%"
autor sandra souto,"aut=souto, sandra%"
autor vanda barbnabe,"aut=barbnabe, vanda%"
autor lucia silva,"aut=silva, lucia%"
autor gustavo januario,"aut=januario, gustavo%"
autor fenne verhoeven,"aut=verhoeven, fenne%"
autor manuel rodrigues,"aut=rodrigues, manuel%"
autor ricardo almeida,"aut=almeida, ricardo%"
autor carmen costa,"aut=costa, carmen%"
autor manuela zarcos,"aut=zarcos, manuela%"
autor teresa rezende,"aut=rezende, teresa%"
autor sinais vitais,"aut=sinais vitais%"
autor liliana rodrigues,"aut=rodrigues, liliana%"
autor susana correia,"aut=correia, susana%"
autor maria graca lopes,"aut=lopes, maria graca%"
autor jose carlos santos,"aut=santos, jose carlos%"
autor medicina e persona,"aut=medicina e persona%"
autor olivia lourenco,"aut=lourenco, olivia%"
autor otilia freitas,"aut=freitas, otilia%"
autor emanuel lopes,"aut=lopes, emanuel%"
autor maria do ceu figueiredo,"aut=figueiredo, maria do ceu%"
autor octavio cunha,"aut=cunha, octavio%"
autor nazare cerejo,"aut=cerejo, nazare%"
autor carla morgado,"aut=morgado, carla%"
autor carla pacheco,"aut=pacheco, carla%"
autor cilia belem,"aut=belem, cilia%"
autor maria de fatima nogueira,"aut=nogueira, maria de fatima%"
autor magda duarte,"aut=duarte, magda%"
autor claudia oliveira,"aut=oliveira, claudia%"
autor joao rodrigues,"aut=rodrigues, joao%"
autor carla costa,"aut=costa, carla%"
autor licia silva,"aut=silva, licia%"
autor mara calaca,"aut=calaca, mara%"
autor maria estefania nobrega,"aut=nobrega, maria estefania%"
autor ghiyin hsaio,"aut=hsaio, ghiyin%"
autor joao manuel videira amaral,"aut=amaral, joao manuel videira%"
autor maria joao borges,"aut=borges, maria joao%"
autor diana campos,"aut=campos, diana%"
autor saundra j. triplett,"aut=triplett, saundra j.%"
autor luis barbosa,"aut=barbosa, luis%"
autor carla lopes,"aut=lopes, carla%"
autor joao serrano,"aut=serrano, joao%"
autor susana soares,"aut=soares, susana%"
autor kim dupree jones,"aut=jones, kim dupree%"
autor cheryl pandolf schenk,"aut=schenk, cheryl pandolf%"
autor ana velon,"aut=velon, ana%"
autor guilhermina carvalho,"aut=carvalho, guilhermina%"
autor pablo lopez,"aut=lopez, pablo%"
autor jose verdu,"aut=verdu, jose%"
autor carmen martinez,"aut=martinez, carmen%"
autor margarida santos,"aut=santos, margarida%"
autor manuel oliveira,"aut=oliveira, manuel%"
autor ramiro menezes,"aut=menezes, ramiro%"
autor ana da fonseca,"aut=fonseca, ana da%"
autor anabela pedrosa,"aut=pedrosa, anabela%"
autor ana cabral,"aut=cabral, ana%"
autor antonio dias,"aut=dias, antonio%"
autor cidalia de fatima cabral de frias,"aut=frias, cidalia de fatima cabral de%"
autor maurice berger,"aut=berger , maurice%"
autor francoise  hortala,"aut=hortala, francoise%"
autor gabriel rodriguez,"aut=rodriguez, gabriel%"
autor luisa pereira,"aut=pereira, luisa%"
autor khatidja amirali,"aut=amirali, khatidja%"
autor catarina dias,"aut=dias, catarina%"
autor ferreira maria augusta,"aut=maria augusta, ferreira%"
autor a. assuncao,"aut=assuncao, a.%"
autor a. rebelo,"aut=rebelo, a.%"
autor e. miranda,"aut=miranda, e.%"
autor m. fins,"aut=fins, m.%"
autor m. rebelo,"aut=rebelo, m.%"
autor r. vieira de castro,"aut=vieira de castro, r.%"
autor s. pereira,"aut=pereira, s.%"
autor ana catarina vaz,"aut=vaz, ana catarina%"
autor verbena araujo,"aut=araujo, verbena%"
autor romulo meira,"aut=meira, romulo%"
autor ana almeida,"aut=almeida, ana%"
autor christiane santana,"aut=santana, christiane%"
autor cassio bottino,"aut=bottino, cassio%"
autor helena ferreira mansilha,"aut=mansilha, helena ferreira%"
autor ana carolina cordinha,"aut=cordinha, ana carolina%"
autor alexandra paul,"aut=paul, alexandra%"
autor livia fernandes,"aut=fernandes, livia%"
autor fatima luzio,"aut=luzio, fatima%"
autor loureiro martins,"aut=martins, loureiro%"
autor piedade sande lemos,"aut=lemos, piedade sande%"
autor joao sampaio,"aut=sampaio, joao%"
autor rafarel marques,"aut=marques, rafarel%"
autor tiago prazeres,"aut=prazeres, tiago%"
autor jose luis fonseca,"aut=fonseca, jose luis%"
autor alexandre laureano santos,"aut=santos, alexandre laureano%"
autor alexandra sequeira,"aut=sequeira, alexandra%"
autor cidalia nobre,"aut=nobre, cidalia%"
autor guilherme goncalves,"aut=goncalves, guilherme%"
autor abel cavaco,"aut=cavaco, abel%"
autor maria do ceu leitao,"aut=leitao, maria do ceu%"
autor r. silveira,"aut=silveira, r.%"
autor catarina lobao,"aut=lobao, catarina%"
autor manuel gaspar,"aut=gaspar, manuel%"
autor antonio marques,"aut=marques, antonio%"
autor pedro sousa,"aut=sousa, pedro%"
autor isabel morais,"aut=morais, isabel%"
autor dora neves,"aut=neves, dora%"
autor ana seica,"aut=seica, ana%"
autor anabela picado,"aut=picado, anabela%"
autor elisabete amaral,"aut=amaral, elisabete%"
autor joaquina ribeiro,"aut=ribeiro, joaquina%"
autor celeste malpique,"aut=malpique, celeste%"
autor jette ammentorp,"aut=ammentorp, jette%"
autor pulerik kofoed,"aut=kofoed, pulerik%"
autor lone laulund,"aut=laulund, lone%"
autor francisco george,"aut=george, francisco%"
autor rosemeire ambrozano,"aut=ambrozano, rosemeire%"
autor tiago correia,"aut=correia, tiago%"
autor m. saudade lopes,"aut=lopes, m. saudade%"
autor helena catarino,"aut=catarino, helena%"
autor m. anjos dixe,"aut=dixe, m. anjos%"
autor ana rita vieira,"aut=vieira, ana rita%"
autor cristina martins,"aut=martins, cristina%"
autor maria joao guerra,"aut=guerra, maria joao%"
autor priscila colacioppo,"aut=colacioppo, priscila%"
autor ferreira ricardo,"aut=ricardo, ferreira%"
autor luzio fatima,"aut=fatima, luzio%"
autor mayra santos,"aut=santos, mayra%"
autor ayoze delgado betancor,"aut=betancor, ayoze delgado%"
autor judith quintero lasso,"aut=lasso, judith quintero%"
autor vanessa dias,"aut=dias, vanessa%"
autor j.l. lazaromartinez,"aut=lazaromartinez, j.l.%"
autor jose da ferreira silva,"aut=silva, jose da ferreira%"
autor monica santos,"aut=santos, monica%"
autor antonio seco,"aut=seco, antonio%"
autor beatriz crespo fontan,"aut=crespo fontan, beatriz%"
autor nuno pinto,"aut=pinto, nuno%"
autor c. courderotmauyer,"aut=courderotmauyer, c.%"
autor salvador postigo mota,"aut=postigo mota, salvador%"
autor cristina pereira,"aut=pereira, cristina%"
autor maria margarida simsim,"aut=simsim, maria margarida%"
autor florbela paiva,"aut=paiva, florbela%"
autor agueda marques,"aut=marques, agueda%"
autor luis paiva,"aut=paiva, luis%"
autor carlos gamelas,"aut=gamelas, carlos%"
autor isabel oliveira,"aut=oliveira, isabel%"
autor maria teresa galvao,"aut=galvao, maria teresa%"
autor paula nunes,"aut=nunes, paula%"
autor teresa acquaviva,"aut=acquaviva, teresa%"
autor fausto amaro,"aut=amaro, fausto%"
autor leonor correia da silva,"aut=silva, leonor correia da%"
autor mafalda lourenco,"aut=lourenco, mafalda%"
autor ana marques silva,"aut=silva, ana marques%"
autor manuel agostinho fernandes,"aut=fernandes, manuel agostinho%"
autor armando almeida,"aut=almeida, armando%"
autor rui filipe goncalves,"aut=goncalves, rui filipe%"
autor molly rose,"aut=rose, molly%"
autor sara barger,"aut=barger, sara%"
autor mariefrancoise colliere,"aut=colliere, mariefrancoise%"
autor joao franco,"aut=franco, joao%"
autor patricia ribeiro,"aut=ribeiro, patricia%"
autor m.bianchi de aguiar,"aut=aguiar, m.bianchi de%"
autor  figueiredo,"aut=figueiredo%"
autor maria luisa carreira,"aut=carreira, maria luisa%"
autor cristina godinho,"aut=godinho, cristina%"
autor andrea oliveira,"aut=oliveira, andrea%"
autor helena nascimento,"aut=nascimento, helena%"
autor jose manuel monteiro,"aut=monteiro, jose manuel%"
autor raquel neves,"aut=neves, raquel%"
autor graca roldao,"aut=roldao, graca%"
autor gilberta santos,"aut=santos, gilberta%"
autor ana bicho,"aut=bicho, ana%"
autor ana barreira,"aut=barreira, ana%"
autor a.f. gomes,"aut=gomes, a.f.%"
autor antonio lima,"aut=lima, antonio%"
autor paul bennett,"aut=bennett, paul%"
autor simon murphy,"aut=murphy, simon%"
autor louise i. dennis,"aut=dennis, louise i.%"
autor anabela bandeira,"aut=bandeira, anabela%"
autor jose ornelas,"aut=ornelas, jose%"
autor jane ogden,"aut=ogden, jane%"
autor p. moreira,"aut=moreira, p.%"
autor o. goncalves,"aut=goncalves, o.%"
autor l. e. beutler,"aut=beutler, l. e.%"
autor emilio farinalopez,"aut=farinalopez, emilio%"
autor gabriel estevezguerra,"aut=estevezguerra, gabriel%"
autor marcia barreira,"aut=barreira, marcia%"
autor santiago garciavelasco,"aut=garciavelasco, santiago%"
autor antonio nogueira,"aut=nogueira, antonio%"
autor eugenia anes,"aut=anes, eugenia%"
autor silveira augusta,"aut=augusta, silveira%"
autor cristina duarte,"aut=duarte, cristina%"
autor susana simoes,"aut=simoes, susana%"
autor amelia esteves,"aut=esteves, amelia%"
autor carina isidoro,"aut=isidoro, carina%"
autor magda marques,"aut=marques, magda%"
autor antonio garrido,"aut=garrido, antonio%"
autor ligia lima,"aut=lima, ligia%"
autor jose paisribeiro,"aut=paisribeiro, jose%"
autor helena cardoso,"aut=cardoso, helena%"
autor domingos malato,"aut=malato, domingos%"
autor antonio nabais,"aut=nabais, antonio%"
autor barbara gomes,"aut=gomes, barbara%"
autor maria arminda mendes,"aut=mendes, maria arminda%"
autor aida mendes,"aut=mendes, aida%"
autor nilza caldevilla,"aut=caldevilla, nilza%"
autor patricia dykes,"aut=dykes, patricia%"
autor silvia pina,"aut=pina, silvia%"
autor jose  pinto,"aut=pinto, jose%"
autor luis montinho,"aut=montinho, luis%"
autor jose manuel pinto,"aut=pinto, jose manuel%"
autor rm piriz campos,"aut=piriz campos, rm%"
autor rosa maria piriz campos,"aut=piriz campos, rosa maria%"
autor rosa pirizcampos,"aut=pirizcampos, rosa%"
autor r. sousa,"aut=sousa, r.%"
autor m azevedo,"aut=azevedo, m%"
autor barbara antunes,"aut=antunes, barbara%"
autor alexandra oliveira,"aut=oliveira, alexandra%"
autor francisco pimentel,"aut=pimentel, francisco%"
autor carlos melodias,"aut=melodias, carlos%"
autor marlene lopes,"aut=lopes, marlene%"
autor rui paulo rodrigues,"aut=rodrigues, rui paulo%"
autor amaro amorim,"aut=amorim, amaro%"
autor ana cardoso,"aut=cardoso, ana%"
autor marta fernandes,"aut=fernandes, marta%"
autor janice hinkle,"aut=hinkle, janice%"
autor helena laranjeira,"aut=laranjeira, helena%"
autor maciel lourenco,"aut=lourenco, maciel%"
autor teresa pereira,"aut=pereira, teresa%"
autor gisele gomes,"aut=gomes, gisele%"
autor leani pereira,"aut=pereira, leani%"
autor maria adelane silva,"aut=silva, maria adelane%"
autor grasiela barroso,"aut=barroso, grasiela%"
autor margarida abreu,"aut=abreu, margarida%"
autor simone oliveira,"aut=oliveira, simone%"
autor machado gomes,"aut=gomes, machado%"
autor sonia oliveira,"aut=oliveira, sonia%"
autor maria teresa leal,"aut=leal, maria teresa%"
autor amaro martins,"aut=martins, amaro%"
autor rosa melo,"aut=melo, rosa%"
autor fernando barone,"aut=barone, fernando%"
autor bertrand g. cramer,"aut=cramer, bertrand g.%"
autor margarida pocinho,"aut=pocinho, margarida%"
autor antonio morais,"aut=morais, antonio%"
autor ana cascais,"aut=cascais, ana%"
autor jussara martini,"aut=martini, jussara%"
autor paulo almeida,"aut=almeida, paulo%"
autor sara raquel pedrosa cunha,"aut=cunha, sara raquel pedrosa%"
autor jose pacheco,"aut=pacheco, jose%"
autor miguel fonte,"aut=fonte, miguel%"
autor filipa correia,"aut=correia, filipa%"
autor cristina ferreira,"aut=ferreira, cristina%"
autor marta santalha,"aut=santalha, marta%"
